,run,operand1,operator,operand2,preResult,delay,corrResult,deviant,absdeviant,rt,respSide
0,1,5,1,2,6,1,7,-1,1,996,1
1,1,3,-1,1,3,0,2,1,1,1085,1
2,1,5,0,33,1,0,5,-4,4,1126,1
3,1,5,1,2,6,1,7,-1,1,1003,1
4,1,6,-1,2,7,1,4,3,3,1162,1
5,1,4,-1,2,1,0,2,-1,1,1054,1
6,1,6,1,3,5,0,9,-4,4,1116,1
7,1,4,0,33,4,1,4,0,0,1207,-1
8,1,5,0,33,1,0,5,-4,4,997,1
9,1,6,-1,0,2,0,6,-4,4,1160,1
10,1,4,1,1,7,1,5,2,2,1218,1
11,1,6,1,0,6,0,6,0,0,1043,-1
12,1,3,1,0,2,1,3,-1,1,990,1
13,1,3,-1,2,1,1,1,0,0,2295,-1
14,1,5,-1,2,3,0,3,0,0,1103,-1
15,1,5,1,0,5,1,5,0,0,788,-1
16,1,3,-1,1,3,0,2,1,1,1065,1
17,1,3,1,2,5,0,5,0,0,687,-1
18,1,6,-1,3,7,0,3,4,4,1643,1
19,1,5,1,1,6,1,6,0,0,1031,-1
20,1,6,0,33,6,1,6,0,0,822,-1
21,1,5,1,3,4,1,8,-4,4,970,1
22,1,6,1,2,6,0,8,-2,2,1318,1
23,1,3,1,3,7,1,6,1,1,1517,1
24,1,3,-1,3,3,0,0,3,3,1581,1
25,1,6,1,1,7,1,7,0,0,1276,1
26,1,4,-1,3,4,0,1,3,3,981,1
27,1,5,-1,1,2,0,4,-2,2,833,1
28,1,4,-1,0,4,0,4,0,0,1012,-1
29,1,4,0,33,1,0,4,-3,3,1101,1
30,1,3,0,33,3,0,3,0,0,1003,-1
31,1,3,0,33,3,1,3,0,0,1251,-1
32,1,5,0,33,9,0,5,4,4,2310,1
33,1,4,1,3,7,1,7,0,0,1153,-1
34,1,6,-1,1,5,1,5,0,0,877,-1
35,1,6,0,33,9,0,6,3,3,2128,1
36,1,5,-1,3,2,1,2,0,0,936,-1
37,1,4,1,2,6,0,6,0,0,0,-1
38,2,4,1,0,1,0,4,-3,3,893,1
39,2,4,0,33,4,1,4,0,0,910,-1
40,2,6,-1,3,7,0,3,4,4,799,1
41,2,4,0,33,4,1,4,0,0,894,-1
42,2,4,1,2,6,0,6,0,0,912,1
43,2,3,-1,1,6,1,2,4,4,1027,1
44,2,5,-1,0,5,1,5,0,0,898,-1
45,2,3,1,2,5,0,5,0,0,914,-1
46,2,6,1,3,9,1,9,0,0,1326,-1
47,2,5,1,3,9,0,8,1,1,1117,1
48,2,6,0,33,6,1,6,0,0,1301,-1
49,2,6,0,33,2,1,6,-4,4,708,1
50,2,5,0,33,5,0,5,0,0,1986,1
51,2,3,1,3,6,1,6,0,0,749,-1
52,2,6,1,0,2,1,6,-4,4,820,1
53,2,5,-1,3,6,0,2,4,4,833,1
54,2,5,-1,1,4,0,4,0,0,947,-1
55,2,4,-1,0,4,0,4,0,0,1027,-1
56,2,6,-1,2,4,0,4,0,0,1054,-1
57,2,3,1,0,1,1,3,-2,2,933,1
58,2,4,-1,3,1,1,1,0,0,1253,-1
59,2,6,-1,3,7,0,3,4,4,1026,1
60,2,3,-1,3,0,1,0,0,0,994,-1
61,2,6,1,2,8,1,8,0,0,0,-1
62,2,3,1,1,7,1,4,3,3,985,1
63,2,3,0,33,1,0,3,-2,2,1949,1
64,2,4,-1,2,4,1,2,2,2,755,1
65,2,5,1,2,6,1,7,-1,1,933,1
66,2,5,0,33,5,1,5,0,0,1263,-1
67,2,5,1,1,6,0,6,0,0,1031,-1
68,2,4,-1,1,1,0,3,-2,2,2133,1
69,2,4,1,1,5,1,5,0,0,1102,-1
70,2,5,-1,2,3,1,3,0,0,876,-1
71,2,6,-1,0,9,0,6,3,3,821,1
72,2,6,-1,1,9,1,5,4,4,914,1
73,2,4,1,3,7,0,7,0,0,1212,-1
74,3,5,1,2,7,1,7,0,0,913,-1
75,3,5,0,33,2,0,5,-3,3,590,1
76,3,4,1,2,5,0,6,-1,1,708,1
77,3,4,0,33,4,1,4,0,0,367,-1
78,3,3,1,0,1,1,3,-2,2,750,1
79,3,6,1,0,6,0,6,0,0,872,-1
80,3,4,1,1,1,1,5,-4,4,944,1
81,3,5,-1,1,8,0,4,4,4,834,1
82,3,5,-1,3,2,0,2,0,0,2025,-1
83,3,4,-1,3,4,1,1,3,3,731,1
84,3,4,-1,1,6,0,3,3,3,1533,1
85,3,4,0,33,4,1,4,0,0,711,1
86,3,5,1,2,7,1,7,0,0,787,-1
87,3,6,-1,3,3,1,3,0,0,752,-1
88,3,3,-1,1,2,0,2,0,0,893,-1
89,3,3,0,33,3,0,3,0,0,699,-1
90,3,6,-1,2,6,1,4,2,2,792,1
91,3,3,-1,3,0,1,0,0,0,693,-1
92,3,3,-1,0,6,0,3,3,3,828,1
93,3,4,1,0,8,1,4,4,4,979,1
94,3,4,-1,2,2,0,2,0,0,768,-1
95,3,4,1,3,7,1,7,0,0,1313,-1
96,3,5,-1,0,4,0,5,-1,1,751,1
97,3,3,0,33,3,0,3,0,0,728,-1
98,3,5,0,33,7,0,5,2,2,726,1
99,3,3,1,2,7,1,5,2,2,553,1
100,3,6,1,2,7,0,8,-1,1,1210,1
101,3,5,1,3,8,1,8,0,0,582,-1
102,3,6,0,33,6,1,6,0,0,892,-1
103,3,5,1,1,5,0,6,-1,1,776,1
104,3,5,0,33,2,0,5,-3,3,789,1
105,3,3,1,1,7,0,4,3,3,982,1
106,3,3,-1,2,3,1,1,2,2,620,1
107,3,5,1,0,8,0,5,3,3,1240,1
108,3,3,1,3,6,1,6,0,0,785,-1
109,3,6,0,33,6,0,6,0,0,2004,1
110,3,6,-1,0,6,0,6,0,0,634,-1
111,4,6,-1,2,6,0,4,2,2,862,1
112,4,5,0,33,5,0,5,0,0,1201,-1
113,4,5,1,2,4,1,7,-3,3,650,-1
114,4,4,-1,2,2,0,2,0,0,493,1
115,4,4,1,3,4,1,7,-3,3,735,1
116,4,6,-1,2,6,0,4,2,2,1135,1
117,4,3,-1,2,1,0,1,0,0,1336,-1
118,4,4,1,2,3,1,6,-3,3,859,1
119,4,3,-1,1,2,1,2,0,0,999,-1
120,4,3,1,1,6,1,4,2,2,1085,-1
121,4,5,0,33,5,1,5,0,0,951,-1
122,4,5,0,33,5,0,5,0,0,836,-1
123,4,5,-1,0,5,0,5,0,0,913,-1
124,4,6,1,2,5,0,8,-3,3,1342,1
125,4,4,-1,3,2,1,1,1,1,1307,1
126,4,6,-1,3,3,0,3,0,0,945,-1
