code_event,myEvent,onsets,response,rt
2,6,0.00651407241821,99,99
13,L,0.483475923538,0,0
1,-6,2.53673505783,99,99
13,L,3.01495194435,0,0
1,-6,5.0683259964,99,99
10,T,5.55228805542,0,0
1,-6,7.60304307938,99,99
10,T,8.08210206032,0,0
2,6,10.1369891167,99,99
11,T,10.615899086,0,0
1,-6,12.6710100174,99,99
10,T,13.1494309902,0,0
1,-6,15.2060389519,99,99
10,T,15.6821711063,0,0
1,-6,17.7397480011,99,99
10,T,18.2157011032,0,0
2,6,20.2712230682,99,99
13,L,20.7498250008,0,0
1,-6,22.8068900108,99,99
10,T,23.2862849236,0,0
1,-6,25.3382480145,99,99
10,T,25.8179960251,0,0
2,6,27.8888969421,99,99
11,T,28.3724861145,0,0
1,-6,30.4218869209,99,99
11,T,30.9008259773,0,0
2,6,32.9554829597,99,99
13,L,33.4641160965,0,0
1,-6,35.5070250034,99,99
10,T,35.9852778912,0,0
1,-6,38.0400950909,99,99
13,L,38.5225450993,0,0
1,-6,40.5763978958,99,99
10,T,41.0531859398,0,0
2,6,43.1070580482,99,99
12,L,43.5891900063,0,0
1,-6,45.6437840462,99,99
12,L,46.1230769157,0,0
2,6,48.174685955,99,99
13,L,48.6566851139,0,0
