code_event,myEvent,onsets,response,rt
4,3,0.00736498832703,99,99.0
93,10,0.78893494606,99,99.0
24,3,1.68817281723,99,99.0
95,99,2.6109919548,99,99.0
47,6,3.4054749012,C,628.394126892
4,3,5.78771400452,99,99.0
94,99,6.57215285301,99,99.0
94,99,7.35442781448,99,99.0
95,3,8.1383459568,99,99.0
42,1,9.32237386703,I,629.698991776
5,4,11.706597805,99,99.0
91,-10,12.4898798466,99,99.0
23,2,13.2729659081,99,99.0
95,99,14.0556879044,99,99.0
46,5,15.2398898602,C,695.600986481
5,4,17.6225819588,99,99.0
91,-10,18.4050219059,99,99.0
23,2,19.1899299622,99,99.0
95,99,19.9731910229,99,99.0
46,5,21.1901299953,I,529.033899307
7,6,23.57336092,99,99.0
93,10,24.3572509289,99,99.0
23,2,25.1394798756,99,99.0
95,99,25.9250588417,99,99.0
46,5,27.1080598831,I,345.739126205
6,5,29.4895288944,99,99.0
94,99,30.2750668526,99,99.0
94,99,31.0580317974,99,99.0
95,5,31.8416938782,99,99.0
46,5,33.0251128674,I,1396.12197876
5,4,35.4095959663,99,99.0
91,-10,36.1918978691,99,99.0
24,3,36.974998951,99,99.0
95,99,37.7589149475,99,99.0
46,5,38.9422259331,I,362.84995079
6,5,41.3261389732,99,99.0
93,10,42.109197855,99,99.0
22,1,42.8928799629,99,99.0
95,99,43.6769599915,99,99.0
47,6,44.8611068726,I,495.483160019
7,6,47.2444689274,99,99.0
91,-10,48.0273149014,99,99.0
21,0,48.810972929,99,99.0
95,99,49.5939359665,99,99.0
43,2,50.7777149677,C,530.017852783
7,6,53.1634659767,99,99.0
93,10,53.9432058334,99,99.0
24,3,54.7271168232,99,99.0
95,99,55.5120630264,99,99.0
48,7,56.2961440086,C,661.427021027
5,4,58.6791639328,99,99.0
93,10,59.4617760181,99,99.0
22,1,60.2452278137,99,99.0
95,99,61.0289568901,99,99.0
46,5,62.2127029896,I,645.495891571
6,5,64.5947799683,99,99.0
94,99,65.3799269199,99,99.0
94,99,66.1633179188,99,99.0
95,5,66.9464588165,99,99.0
46,5,67.728361845,I,864.115953445
6,5,70.1973760128,99,99.0
91,-10,70.979749918,99,99.0
21,0,71.7635519505,99,99.0
95,99,72.5467078686,99,99.0
50,9,73.7313678265,I,495.923042297
6,5,76.1141479015,99,99.0
91,-10,76.8986129761,99,99.0
22,1,77.6824629307,99,99.0
95,99,78.4642248154,99,99.0
44,3,79.2487878799,C,496.406078339
5,4,81.6307189465,99,99.0
91,-10,82.4154679775,99,99.0
22,1,83.1992359161,99,99.0
95,99,83.983342886,99,99.0
44,3,85.1667020321,C,261.607885361
7,6,87.5494740009,99,99.0
91,-10,88.3332118988,99,99.0
22,1,89.1160578728,99,99.0
95,99,89.8992009163,99,99.0
50,9,91.0831890106,C,330.099821091
4,3,93.4656620026,99,99.0
91,-10,94.2507920265,99,99.0
23,2,95.0632708073,99,99.0
95,99,95.8505828381,99,99.0
42,1,97.033965826,C,278.742074966
5,4,99.4175958633,99,99.0
91,-10,100.200934887,99,99.0
21,0,100.984709024,99,99.0
95,99,101.768270969,99,99.0
48,7,102.952498913,C,61.5689754486
7,6,105.335103035,99,99.0
94,99,106.118199825,99,99.0
94,99,106.900779009,99,99.0
95,6,107.685328007,99,99.0
47,6,108.46814394,C,797.262907028
4,3,110.853358984,99,99.0
94,99,111.635061979,99,99.0
94,99,112.418838024,99,99.0
95,3,113.202651024,99,99.0
45,4,113.986187935,I,429.030895233
