code_event,myEvent,onsets,response,rt
6,5,0.00705759646371,99,99.0
51,-10,0.788472128217,99,99.0
21,0,1.57204021187,99,99.0
55,99,2.35590071778,99,99.0
50,9,3.53946833475,0,0.0
7,6,5.92372194119,99,99.0
53,10,6.70754455298,99,99.0
23,2,7.49087134155,99,99.0
55,99,8.27356167452,99,99.0
46,5,9.45781211613,0,0.0
4,3,11.8425607489,99,99.0
54,99,12.6253239859,99,99.0
54,99,13.408841827,99,99.0
55,99,14.1925523023,99,99.0
36,5,14.9763800207,0,0.0
6,5,17.3603102461,99,99.0
53,10,18.1439159414,99,99.0
22,1,18.9287175623,99,99.0
55,99,19.7111641129,99,99.0
47,6,20.894955705,0,0.0
7,6,23.279186178,99,99.0
51,-10,24.0627407763,99,99.0
21,0,24.8464592034,99,99.0
55,99,25.6303194778,99,99.0
37,6,26.4136893392,0,0.0
4,3,28.7979323925,99,99.0
51,-10,29.5815186894,99,99.0
22,1,30.3653332202,99,99.0
55,99,31.148907376,99,99.0
47,6,32.3325907624,false,1329.97400081
4,3,34.7168159062,99,99.0
51,-10,35.5003538551,99,99.0
21,0,36.28471167,99,99.0
55,99,37.0676566664,99,99.0
46,5,38.2515154544,false,763.048658264
5,4,40.6367812094,99,99.0
53,10,41.4194620658,99,99.0
22,1,42.2029717505,99,99.0
55,99,42.9864786745,99,99.0
46,5,44.1704712346,true,829.669280443
7,6,46.5545328803,99,99.0
51,-10,47.3445173081,99,99.0
23,2,48.1217988923,99,99.0
55,99,48.9055180682,99,99.0
45,4,50.0893282224,true,446.209774585
5,4,52.4735636999,99,99.0
53,10,53.2570914564,99,99.0
21,0,54.0408504904,99,99.0
55,99,54.8245141966,99,99.0
49,8,56.0094982862,false,745.051247533
6,5,58.3928851882,99,99.0
51,-10,59.1760517359,99,99.0
23,2,59.9596051913,99,99.0
55,99,60.7432285493,99,99.0
34,3,61.5269016959,true,1229.8982474
5,4,63.9112722628,99,99.0
54,99,64.6947339483,99,99.0
54,99,65.4784540115,99,99.0
55,99,66.26207555,99,99.0
35,4,67.0460068067,true,962.754061213
6,5,69.4298461463,99,99.0
54,99,70.2135000962,99,99.0
54,99,70.9970921465,99,99.0
55,99,71.7806503959,99,99.0
46,5,72.96476413,true,479.362119921
4,3,75.3489407753,99,99.0
53,10,76.1324461744,99,99.0
22,1,76.9160003335,99,99.0
55,99,77.6999135333,99,99.0
47,6,78.8834423238,false,679.632244399
7,6,81.2676609865,99,99.0
54,99,82.0515630466,99,99.0
54,99,82.8348950531,99,99.0
55,99,83.6185836912,99,99.0
34,3,84.4021825835,true,629.640547326
5,4,86.7875500449,99,99.0
51,-10,87.5701405992,99,99.0
22,1,88.3540417631,99,99.0
55,99,89.1371489342,99,99.0
34,3,89.9208049293,false,1946.88165712
6,5,92.3053642059,99,99.0
53,10,93.088787095,99,99.0
24,3,93.8724153521,99,99.0
55,99,94.6561633246,99,99.0
49,8,95.8397152968,true,796.413324657
6,5,98.2239001374,99,99.0
51,-10,99.0079402223,99,99.0
