code_event,myEvent,onsets,response,rt
6,5,0.00711297988892,99,99
91,-10,0.788712978363,99,99
24,3,1.57286190987,99,99
95,99,2.35570478439,99,99
43,2,3.13963079453,0,0
6,5,5.52242588997,99,99
91,-10,6.30583691597,99,99
21,0,7.09015083313,99,99
95,99,7.8719599247,99,99
42,1,8.65674495697,0,0
7,6,11.0406758785,99,99
91,-10,11.8225228786,99,99
23,2,12.6063609123,99,99
95,99,13.3900289536,99,99
45,4,14.5743618011,0,0
7,6,16.9568219185,99,99
93,10,17.7421188354,99,99
21,0,18.5237979889,99,99
95,99,19.3066728115,99,99
47,6,20.0904619694,0,0
6,5,22.474727869,99,99
93,10,23.2579360008,99,99
21,0,24.040722847,99,99
95,99,24.824243784,99,99
46,5,26.0078737736,0,0
5,4,28.3905198574,99,99
93,10,29.175401926,99,99
22,1,29.9585428238,99,99
95,99,30.7428159714,99,99
49,8,31.5250759125,0,0
4,3,33.9088728428,99,99
93,10,34.6923398972,99,99
23,2,35.4762778282,99,99
95,99,36.2596988678,99,99
46,5,37.4417488575,0,0
4,3,39.8263998032,99,99
93,10,40.6096467972,99,99
21,0,41.391851902,99,99
95,99,42.1767919064,99,99
43,2,42.959995985,0,0
6,5,45.3436379433,99,99
93,10,46.1260848045,99,99
22,1,46.9107239246,99,99
95,99,47.6942207813,99,99
50,9,48.8784348965,0,0
7,6,51.2615499496,99,99
93,10,52.0447199345,99,99
23,2,52.8283128738,99,99
95,99,53.6115648746,99,99
47,6,54.3944959641,0,0
6,5,56.7785749435,99,99
91,-10,57.5620968342,99,99
23,2,58.34532094,99,99
95,99,59.128661871,99,99
44,3,60.3129987717,0,0
4,3,62.6965107918,99,99
93,10,63.479793787,99,99
24,3,64.2632799149,99,99
95,99,65.0463159084,99,99
47,6,65.8297019005,0,0
4,3,68.2135798931,99,99
93,10,68.9966928959,99,99
22,1,69.780369997,99,99
95,99,70.5635108948,99,99
42,1,71.7472639084,0,0
6,5,74.1313619614,99,99
93,10,74.9148318768,99,99
24,3,75.6970458031,99,99
95,99,76.4810578823,99,99
49,8,77.2646138668,0,0
7,6,79.6463718414,99,99
91,-10,80.4315378666,99,99
21,0,81.2151508331,99,99
95,99,81.9989140034,99,99
44,3,83.1833739281,0,0
7,6,85.5656249523,99,99
91,-10,86.3503298759,99,99
22,1,87.1328690052,99,99
95,99,87.9163348675,99,99
49,8,88.6997008324,0,0
6,5,91.0845229626,99,99
93,10,91.8665599823,99,99
23,2,92.6498329639,99,99
95,99,93.4648649693,99,99
48,7,94.6474339962,0,0
4,3,97.0338778496,99,99
91,-10,97.8170847893,99,99
21,0,98.6008458138,99,99
95,99,99.3841569424,99,99
44,3,100.168366909,0,0
4,3,102.55131793,99,99
91,-10,103.335371971,99,99
23,2,104.118982792,99,99
95,99,104.901344776,99,99
45,4,106.086180925,0,0
5,4,108.468944788,99,99
91,-10,109.253522873,99,99
21,0,110.036140919,99,99
95,99,110.818558931,99,99
46,5,111.602650881,0,0
