code_event,myEvent,onsets,response,rt
1,-6,0.00355572369881,99,99.0
12,L,0.608123204904,L,475.698492955
2,6,2.65215329127,99,99.0
13,L,3.25318545778,L,598.290461581
1,-6,5.30326729314,99,99.0
10,T,5.90489998797,T,464.224888477
2,6,7.95433707279,99,99.0
11,T,8.55530130002,T,498.205274809
1,-6,10.6054452371,99,99.0
12,L,11.206687691,L,347.766833613
2,6,13.2563716013,99,99.0
11,T,13.8567481301,T,482.101397472
2,6,15.9075266104,99,99.0
11,T,16.5141382795,T,509.144350654
1,-6,18.5584203792,99,99.0
10,T,19.1591291915,T,515.129994717
2,6,21.2095064474,99,99.0
13,L,21.8106933769,L,531.245105085
2,6,23.8604211605,99,99.0
13,L,24.4612751779,L,414.96786417
1,-6,26.5114488321,99,99.0
12,L,27.1126315901,L,397.972010891
2,6,29.162511099,99,99.0
13,L,29.7639185112,L,397.702638293
2,6,31.813718174,99,99.0
10,T,32.4140149831,T,498.660384561
2,6,34.4645227344,99,99.0
13,L,35.0656205607,L,448.063366348
2,6,37.1155927426,99,99.0
13,L,37.7172770792,L,397.395816282
1,-6,39.7664791039,99,99.0
10,T,40.3679727953,T,514.447665424
2,6,42.4175111094,99,99.0
13,L,43.0185302686,L,514.938185457
1,-6,45.0685385766,99,99.0
12,L,45.6699209423,L,481.1855359
2,6,47.7197471042,99,99.0
13,L,48.3207856496,L,464.67382682
2,6,50.3705487202,99,99.0
11,T,50.9714314681,T,398.355542216
1,-6,53.0217034225,99,99.0
10,T,53.6226158094,T,564.975848189
1,-6,55.672675245,99,99.0
10,T,56.2746134506,T,480.580156436
1,-6,58.3237193136,99,99.0
13,L,58.9244017832,L,481.819751323
1,-6,60.9747171327,99,99.0
11,T,61.5758970426,T,498.025435489
2,6,63.6256255602,99,99.0
13,L,64.2260921545,L,482.171469135
1,-6,66.2768650529,99,99.0
13,L,66.877976037,L,631.364345783
1,-6,68.9276973454,99,99.0
10,T,69.5296934844,T,514.013894019
2,6,71.5787323223,99,99.0
11,T,72.1799304847,T,581.429602811
2,6,74.2297147883,99,99.0
13,L,74.8309152214,L,364.712443668
1,-6,76.8807866732,99,99.0
12,L,77.4825520589,L,480.815460207
1,-6,79.5317698489,99,99.0
10,T,80.1331941452,T,431.178327301
1,-6,82.1829217994,99,99.0
12,L,82.7839875326,L,448.072990403
2,6,84.8338109006,99,99.0
11,T,85.4354564885,T,430.937922909
2,6,87.4848064942,99,99.0
11,T,88.0858227151,T,514.961571782
1,-6,90.135853044,99,99.0
12,L,90.7378365335,L,347.309215693
2,6,92.7868596691,99,99.0
11,T,93.3876719816,T,448.462527478
1,-6,95.4379160504,99,99.0
10,T,96.0392872463,L,347.844586475
1,-6,98.0889958901,99,99.0
12,L,98.6898751765,L,381.632754696
1,-6,100.739962804,99,99.0
12,L,101.341328015,L,614.609835204
1,-6,103.3909657,99,99.0
10,T,103.992361377,T,831.336991163
1,-6,106.042010578,99,99.0
11,T,106.642501861,T,515.437415219
1,-6,108.692977907,99,99.0
12,L,109.294169597,L,381.422280916
2,6,111.344036024,99,99.0
12,L,111.945567736,L,531.131782569
1,-6,113.995060685,99,99.0
10,T,114.596571708,T,414.400649955
1,-6,116.646069635,99,99.0
12,L,117.247449633,L,397.914958652
1,-6,119.297091884,99,99.0
10,T,119.897600051,T,432.074787444
1,-6,121.94816514,99,99.0
12,L,122.549473885,L,364.603758673
2,6,124.599129239,99,99.0
11,T,125.201442928,T,346.907377825
2,6,127.250145431,99,99.0
10,T,127.851736304,L,397.669648984
2,6,129.901237199,99,99.0
13,L,130.503548409,L,446.938609937
1,-6,132.55218793,99,99.0
10,T,133.154102632,T,580.747135216
2,6,135.203291168,99,99.0
11,T,135.805142541,T,413.979639183
2,6,137.854252981,99,99.0
11,T,138.455601115,T,447.899373481
1,-6,140.505250461,99,99.0
10,T,141.106883862,T,731.077694334
1,-6,143.156301257,99,99.0
10,T,143.757363399,T,464.847154915
2,6,145.807297287,99,99.0
13,L,146.409019024,L,414.203926455
2,6,148.458310522,99,99.0
11,T,149.059253625,T,431.657331646
1,-6,151.109406287,99,99.0
11,T,151.711810901,T,530.209310469
1,-6,153.760357541,99,99.0
10,T,154.361640716,T,514.644975541
2,6,156.411360202,99,99.0
13,L,157.012556295,L,481.441010954
1,-6,159.062418093,99,99.0
12,L,159.663767734,L,481.253794045
1,-6,161.713506967,99,99.0
12,L,162.314385318,L,398.312489851
2,6,164.364428757,99,99.0
11,T,164.965793833,T,414.577641292
2,6,167.015449057,99,99.0
11,T,167.616786467,T,447.974371375
1,-6,169.666547477,99,99.0
10,T,170.267081747,T,715.433624457
2,6,172.317645777,99,99.0
10,T,172.91880397,T,481.319640297
2,6,174.968589864,99,99.0
13,L,175.569276911,L,465.256953728
1,-6,177.619573858,99,99.0
10,T,178.221066244,L,431.079182192
2,6,180.270614056,99,99.0
11,T,180.872984271,T,463.533554692
2,6,182.921581385,99,99.0
13,L,183.522911147,L,531.320527196
1,-6,185.572616603,99,99.0
12,L,186.215514117,L,489.736314863
1,-6,188.257130676,99,99.0
13,L,188.85873129,L,747.637469438
2,6,190.908046989,99,99.0
11,T,191.509096686,T,531.54454066
1,-6,193.559039861,99,99.0
12,L,194.160613296,L,380.997080705
2,6,196.210038643,99,99.0
11,T,196.811508933,T,481.14979791
