code_event,myEvent,onsets,response,rt
2,6,0.00351269624662,99,99.0
11,T,0.608146118582,T,1676.06383911
2,6,2.65214976494,99,99.0
10,T,3.25336055574,T,764.836074901
1,-6,5.30327210645,99,99.0
10,T,5.90414732089,T,765.050191665
1,-6,7.95424215565,99,99.0
10,T,8.55544548796,T,531.32162476
1,-6,10.6052466225,99,99.0
13,L,11.2073395579,L,597.100294079
2,6,13.2562921442,99,99.0
13,L,13.8573288387,L,498.120465083
1,-6,15.9073528205,99,99.0
10,T,16.5144365027,T,491.966080735
1,-6,18.5582400081,99,99.0
12,L,19.1593373511,L,748.157697963
2,6,21.2092670969,99,99.0
13,L,21.8106639268,L,464.367699809
2,6,23.8602324757,99,99.0
11,T,24.4614152188,T,481.29524861
2,6,26.511235956,99,99.0
12,L,27.1123538431,L,498.004434048
2,6,29.1622202817,99,99.0
13,L,29.7635383038,L,531.177963945
2,6,31.8132137081,99,99.0
11,T,32.4144246974,0,0.0
2,6,34.4642023796,99,99.0
10,T,35.0654973434,L,1531.57099034
1,-6,37.1151562186,99,99.0
10,T,37.716323365,0,0.0
1,-6,39.7662206724,99,99.0
10,T,40.367402814,0,0.0
2,6,42.4172149348,99,99.0
13,L,43.0180589467,0,0.0
2,6,45.0680030021,99,99.0
13,L,45.6698800735,0,0.0
2,6,47.7190067982,99,99.0
11,T,48.3204364756,0,0.0
2,6,50.3701229263,99,99.0
13,L,50.9713850847,0,0.0
1,-6,53.0210250729,99,99.0
10,T,53.6224230395,0,0.0
1,-6,55.6721518384,99,99.0
10,T,56.2727539055,0,0.0
2,6,58.3231343597,99,99.0
11,T,58.9242744839,0,0.0
2,6,60.9740052468,99,99.0
11,T,61.5750261249,0,0.0
2,6,63.6251692417,99,99.0
13,L,64.2257687615,0,0.0
1,-6,66.276283881,99,99.0
10,T,66.8769908607,0,0.0
2,6,68.9269685155,99,99.0
13,L,69.5278279497,0,0.0
2,6,71.5780176943,99,99.0
10,T,72.1804608825,T,1563.85228259
1,-6,74.2289593139,99,99.0
10,T,74.8307433403,T,564.197349129
1,-6,76.8799575162,99,99.0
10,T,77.4813937048,0,0.0
1,-6,79.5309545154,99,99.0
10,T,80.1324466759,0,0.0
1,-6,82.1820079016,99,99.0
12,L,82.7829784979,0,0.0
2,6,84.8330298869,99,99.0
13,L,85.4345600678,T,164.19577389
1,-6,87.4840276832,99,99.0
11,T,88.0851280848,0,0.0
1,-6,90.1349322478,99,99.0
12,L,90.7368516222,T,180.572649115
1,-6,92.786017859,99,99.0
12,L,93.3874593016,L,14.2427243991
1,-6,95.4369693402,99,99.0
11,T,96.0386014683,L,680.980477482
1,-6,98.087935164,99,99.0
12,L,98.6892688459,T,14.4050496165
2,6,100.739063544,99,99.0
13,L,101.339897157,0,0.0
1,-6,103.389935761,99,99.0
10,T,103.991234153,0,0.0
1,-6,106.040899738,99,99.0
11,T,106.641717101,0,0.0
2,6,108.69195353,99,99.0
13,L,109.293802031,0,0.0
1,-6,111.34286675,99,99.0
12,L,111.944302731,0,0.0
1,-6,113.993862935,99,99.0
11,T,114.594622337,T,881.990285823
1,-6,116.644974876,99,99.0
10,T,117.245968041,T,598.205707152
1,-6,119.295855002,99,99.0
10,T,119.896942424,T,464.833240956
1,-6,121.946834597,99,99.0
13,L,122.548199136,L,514.599894988
1,-6,124.597842081,99,99.0
10,T,125.200337103,T,530.205577146
1,-6,127.248865362,99,99.0
10,T,127.849831519,T,448.242372251
2,6,129.899858166,99,99.0
11,T,130.501864483,T,630.609496613
1,-6,132.550837908,99,99.0
10,T,133.151961933,T,498.134876951
1,-6,135.202020988,99,99.0
12,L,135.803679856,L,547.449382255
1,-6,137.852822992,99,99.0
10,T,138.45415607,T,581.289132708
1,-6,140.503864734,99,99.0
13,L,141.105183637,L,531.241075718
1,-6,143.154782637,99,99.0
10,T,143.756040073,T,514.731676318
1,-6,145.805965046,99,99.0
12,L,146.407534372,L,564.237327315
2,6,148.457007576,99,99.0
11,T,149.058245175,T,431.471127667
2,6,151.107954861,99,99.0
13,L,151.709453752,L,480.967717129
2,6,153.758920357,99,99.0
13,L,154.360615844,L,514.095563674
2,6,156.409906894,99,99.0
11,T,157.010929474,T,531.440395629
2,6,159.06096058,99,99.0
11,T,159.662151107,T,614.599592634
1,-6,161.711959953,99,99.0
11,T,162.312848048,T,548.191980342
1,-6,164.363013261,99,99.0
11,T,164.964612658,T,464.059623657
2,6,167.013918746,99,99.0
11,T,167.614993259,T,481.342904852
2,6,169.664910488,99,99.0
11,T,170.265930488,T,398.056897917
2,6,172.315961871,99,99.0
13,L,172.91685129,L,531.481757411
1,-6,174.967018767,99,99.0
10,T,175.567337997,T,548.663819209
2,6,177.61771437,99,99.0
11,T,178.218911104,T,781.498476281
1,-6,180.268709312,99,99.0
10,T,180.870948558,T,480.350019177
2,6,182.919989398,99,99.0
11,T,183.520754623,T,431.526985369
2,6,185.570937003,99,99.0
11,T,186.213264863,T,406.68380342
1,-6,188.255224086,99,99.0
11,T,188.856347808,T,514.615783584
1,-6,190.906145469,99,99.0
12,L,191.507812775,L,414.109465783
2,6,193.557174317,99,99.0
11,T,194.158451639,T,497.827435494
1,-6,196.208220594,99,99.0
11,T,196.80928548,T,497.990789125
1,-6,198.85914886,99,99.0
13,L,199.459963904,L,581.685941084
2,6,201.510120548,99,99.0
13,L,202.11132361,L,481.282325462
2,6,204.161194779,99,99.0
13,L,204.762270679,L,414.645372657
