code_event,myEvent,onsets,response,rt
1,-6,0.00325057793816,99,99.0
12,L,0.607974792234,L,392.404784914
2,6,2.65217122836,99,99.0
11,T,3.25413293501,T,313.909099656
1,-6,5.30322226644,99,99.0
13,L,5.90379162314,L,598.703877655
1,-6,7.95438629588,99,99.0
12,L,8.55536213572,L,431.413488586
2,6,10.6053131578,99,99.0
11,T,11.2063267115,T,431.455488168
1,-6,13.2562267055,99,99.0
10,T,13.8569218955,L,565.254676145
2,6,15.9074065333,99,99.0
13,L,16.5147130976,L,458.434598149
2,6,18.5585549087,99,99.0
11,T,19.1589120691,T,515.276265902
1,-6,21.2092271807,99,99.0
11,T,21.8105143979,T,398.016885043
2,6,23.860237735,99,99.0
11,T,24.4610913354,T,365.069555191
2,6,26.5112896091,99,99.0
11,T,27.112934119,T,330.87632505
2,6,29.1623080851,99,99.0
13,L,29.7633950998,L,431.525451375
1,-6,31.8132453048,99,99.0
12,L,32.4145366272,L,464.69780754
2,6,34.46440885,99,99.0
10,T,35.0652901224,T,481.625809265
1,-6,37.115973901,99,99.0
12,L,37.7162094565,L,415.085679342
1,-6,39.766518081,99,99.0
12,L,40.3675566541,L,498.065734679
2,6,42.4175241421,99,99.0
13,L,43.0181436006,L,565.165979289
2,6,45.0683371886,99,99.0
13,L,45.6695656124,L,398.038262276
1,-6,47.7195093924,99,99.0
10,T,48.3210480657,T,397.577130054
2,6,50.370398399,99,99.0
13,L,50.9713886598,L,465.167002836
1,-6,53.0215812313,99,99.0
10,T,53.6229132931,T,447.742973003
1,-6,55.6723994416,99,99.0
12,L,56.2737949675,L,397.851010013
2,6,58.3236099728,99,99.0
13,L,58.9244678409,T,364.85954226
1,-6,60.9745873154,99,99.0
12,L,61.5762696264,L,530.777815762
2,6,63.6256049463,99,99.0
11,T,64.2260997744,T,415.317839423
1,-6,66.2767411114,99,99.0
10,T,66.8777838438,T,681.581573117
1,-6,68.9276762739,99,99.0
11,T,69.5293838027,T,480.704928272
1,-6,71.5784541869,99,99.0
12,L,72.1798943199,L,697.940747461
1,-6,74.2294851651,99,99.0
12,L,74.8310637598,L,481.038512899
1,-6,76.8804866457,99,99.0
10,T,77.4818041574,T,548.001859632
1,-6,79.5315684925,99,99.0
10,T,80.133147785,T,364.274351134
1,-6,82.1825488426,99,99.0
11,T,82.7839633247,T,531.200909263
1,-6,84.8334730459,99,99.0
12,L,85.4353736013,L,414.105695181
2,6,87.4845411545,99,99.0
11,T,88.0857153953,T,498.164392335
1,-6,90.1355446412,99,99.0
11,T,90.7371315275,T,447.697502779
1,-6,92.7866615312,99,99.0
12,L,93.3879220359,L,464.645341901
2,6,95.4376000441,99,99.0
13,L,96.0390233652,L,614.618906075
1,-6,98.0885836242,99,99.0
12,L,98.6902347776,L,497.661170313
2,6,100.739634888,99,99.0
10,T,101.340956075,T,598.049117303
2,6,103.390598973,99,99.0
11,T,103.992356628,T,397.536399636
1,-6,106.041682495,99,99.0
11,T,106.642778875,T,414.842220129
2,6,108.692717861,99,99.0
11,T,109.29406887,T,447.84181111
2,6,111.343653331,99,99.0
12,L,111.945190094,0,0.0
2,6,113.994672628,99,99.0
10,T,114.595905858,T,731.496729855
2,6,116.645860462,99,99.0
13,L,117.246927362,T,431.352653108
2,6,119.296932296,99,99.0
11,T,119.897356533,T,581.994324868
2,6,121.94792111,99,99.0
13,L,122.550033467,0,0.0
2,6,124.598941168,99,99.0
12,L,125.200844078,0,0.0
2,6,127.249772232,99,99.0
11,T,127.851046463,T,381.271140141
1,-6,129.900737725,99,99.0
12,L,130.50240345,0,0.0
1,-6,132.551818215,99,99.0
10,T,133.154600636,T,529.798971438
2,6,135.202803374,99,99.0
13,L,135.804558391,0,0.0
2,6,137.853800825,99,99.0
13,L,138.455160598,0,0.0
1,-6,140.504817972,99,99.0
12,L,141.106132813,0,0.0
1,-6,143.155899118,99,99.0
13,L,143.757012944,0,0.0
2,6,145.806854352,99,99.0
11,T,146.408419473,T,414.33630039
1,-6,148.457869664,99,99.0
10,T,149.059454103,0,0.0
1,-6,151.108885695,99,99.0
12,L,151.710355548,0,0.0
1,-6,153.75985351,99,99.0
13,L,154.361368611,0,0.0
1,-6,156.410920043,99,99.0
11,T,157.011757256,T,431.728959105
1,-6,159.062097462,99,99.0
12,L,159.663590686,0,0.0
1,-6,161.712880457,99,99.0
10,T,162.313901403,0,0.0
1,-6,164.364141045,99,99.0
12,L,164.965559226,0,0.0
1,-6,167.01492528,99,99.0
10,T,167.616125704,T,464.750282201
1,-6,169.665964778,99,99.0
12,L,170.266897166,0,0.0
2,6,172.317012376,99,99.0
11,T,172.918378594,T,364.496769958
2,6,174.968110505,99,99.0
11,T,175.569228479,T,347.995413576
2,6,177.618997969,99,99.0
13,L,178.220658088,0,0.0
1,-6,180.270015807,99,99.0
12,L,180.87236431,0,0.0
1,-6,182.921046118,99,99.0
11,T,183.52271737,T,464.239806119
1,-6,185.572071899,99,99.0
12,L,186.214429306,0,0.0
1,-6,188.256435304,99,99.0
12,L,188.85794119,0,0.0
2,6,190.907410616,99,99.0
13,L,191.508672796,0,0.0
1,-6,193.558655012,99,99.0
12,L,194.160174567,0,0.0
1,-6,196.209429054,99,99.0
10,T,196.810762794,T,514.614239459
