code_event,myEvent,onsets,response,rt
2,DodgerBlue,0.00500749907224,99,99.0
13,T,0.823774612625,t,743.556234054
2,DodgerBlue,2.90601023787,99,99.0
11,L,3.55668897479,l,628.282255377
1,Orange,5.64030474884,99,99.0
11,L,6.40639683243,l,963.138877705
2,DodgerBlue,8.49153104954,99,99.0
10,L,8.59047183167,l,679.834859038
2,DodgerBlue,10.6761339357,99,99.0
11,L,11.4251325516,l,596.217391081
2,DodgerBlue,13.5102842153,99,99.0
13,T,14.3761684135,t,512.949945987
2,DodgerBlue,16.4612888171,99,99.0
11,L,16.5602820351,l,863.154598337
2,DodgerBlue,18.6457260557,99,99.0
12,T,19.4617228026,t,479.426349804
2,DodgerBlue,21.5467624305,99,99.0
13,T,22.1291242318,t,613.058817515
1,Orange,24.2143996996,99,99.0
12,T,25.0804381379,t,562.863210856
1,Orange,27.1654200818,99,99.0
13,T,27.8315392664,l,562.851201801
2,DodgerBlue,29.9164912615,99,99.0
13,T,30.7992601763,t,863.02716413
2,DodgerBlue,32.8843320868,99,99.0
13,T,33.6502308417,t,746.527168492
2,DodgerBlue,35.735752874,99,99.0
13,T,36.5680014884,t,696.464265115
2,DodgerBlue,38.6531724031,99,99.0
13,T,39.2027249727,t,646.077146288
1,Orange,41.2875429232,99,99.0
10,L,41.3870584763,l,712.629128364
1,Orange,43.4718113894,99,99.0
10,L,44.3214670374,l,779.382069246
2,DodgerBlue,46.4062733006,99,99.0
12,T,47.1388836195,t,663.045691035
2,DodgerBlue,49.2241156106,99,99.0
13,T,50.0400859185,t,946.385108167
2,DodgerBlue,52.1252576964,99,99.0
10,L,52.9412519259,l,546.165898209
2,DodgerBlue,55.0262280474,99,99.0
13,T,55.5421382902,t,763.06221704
2,DodgerBlue,57.6273461041,99,99.0
13,T,58.410046457,t,579.55170545
1,Orange,60.4953670765,99,99.0
12,T,60.9943763744,t,612.90293833
1,Orange,63.0794634758,99,99.0
10,L,63.7786607543,l,496.295183664
2,DodgerBlue,65.8638955215,99,99.0
11,L,66.6798613031,l,729.671799229
2,DodgerBlue,68.7650808582,99,99.0
13,T,69.6479733184,t,529.28458614
1,Orange,71.7329031031,99,99.0
12,T,72.4486872405,t,579.67555162
2,DodgerBlue,74.5339082212,99,99.0
11,L,75.366620398,l,446.146993316
1,Orange,77.4516712619,99,99.0
12,T,78.3010002974,t,679.670997895
1,Orange,80.3862645953,99,99.0
10,L,81.2355723556,l,512.841663731
2,DodgerBlue,83.3208934232,99,99.0
13,T,83.8364216705,t,746.427442471
1,Orange,85.9217035712,99,99.0
11,L,86.4708238866,l,579.653599823
2,DodgerBlue,88.5559915803,99,99.0
11,L,89.1894062396,l,612.161364872
1,Orange,91.2736244627,99,99.0
12,T,92.12297302,t,462.978377705
2,DodgerBlue,94.2080329275,99,99.0
13,T,94.9577474748,t,462.701055338
1,Orange,97.0425954553,99,99.0
12,T,97.6255365118,t,495.897633082
1,Orange,99.7104571086,99,99.0
12,T,100.242827985,t,729.726541904
2,DodgerBlue,102.328089862,99,99.0
10,L,102.87721852,l,646.309389151
2,DodgerBlue,104.962417889,99,99.0
11,L,105.794977973,l,429.595006572
1,Orange,107.880160043,99,99.0
12,T,108.579513381,t,612.895344384
2,DodgerBlue,110.664737727,99,99.0
11,L,111.28056634,l,546.204640938
2,DodgerBlue,113.365730235,99,99.0
11,L,114.098181691,l,663.046626374
2,DodgerBlue,116.183247466,99,99.0
13,T,116.815928901,t,546.354802791
1,Orange,118.901077118,99,99.0
12,T,119.539001028,t,624.3209393
1,Orange,121.618795239,99,99.0
12,T,122.184619366,t,596.394975437
2,DodgerBlue,124.270027011,99,99.0
13,T,124.785695577,t,629.670758964
2,DodgerBlue,126.870869114,99,99.0
13,T,127.503499505,t,512.875224464
1,Orange,129.588631512,99,99.0
12,T,130.087740466,t,629.696112301
2,DodgerBlue,132.172974166,99,99.0
11,L,132.955575881,l,496.246164257
2,DodgerBlue,135.040790107,99,99.0
11,L,135.589891533,l,663.02351671
1,Orange,137.675091641,99,99.0
12,T,138.274307203,t,546.26460158
1,Orange,140.359493158,99,99.0
10,L,140.958829366,l,446.103934781
1,Orange,143.043963234,99,99.0
10,L,143.610045141,l,1212.86866878
1,Orange,145.694874974,99,99.0
12,T,146.37782409,t,795.99512351
2,DodgerBlue,148.46279355,99,99.0
13,T,148.961861052,t,662.906380254
2,DodgerBlue,151.046983456,99,99.0
13,T,151.596135726,t,646.30811091
1,Orange,153.681546519,99,99.0
12,T,154.297204558,t,629.64812445
2,DodgerBlue,156.38290028,99,99.0
11,L,157.098367568,l,479.492193146
2,DodgerBlue,159.183321455,99,99.0
13,T,159.282427806,t,1346.61786992
1,Orange,161.367705632,99,99.0
12,T,161.883441147,t,679.696104606
1,Orange,163.968535686,99,99.0
12,T,164.667951848,t,546.177849988
2,DodgerBlue,166.753000613,99,99.0
11,L,167.536064748,l,495.854812209
2,DodgerBlue,169.620857493,99,99.0
10,L,169.719736399,l,696.445666661
1,Orange,171.805043761,99,99.0
10,L,172.320870326,l,462.889629125
1,Orange,174.406064561,99,99.0
11,L,175.07186645,l,563.00657877
2,DodgerBlue,177.157095272,99,99.0
11,L,177.773025725,l,546.2193446
2,DodgerBlue,179.858210393,99,99.0
13,T,180.690850284,t,646.229575796
2,DodgerBlue,182.776023725,99,99.0
11,L,183.308450674,l,546.275455679
2,DodgerBlue,185.393921467,99,99.0
11,L,185.99284853,l,529.574937071
1,Orange,188.078013752,99,99.0
12,T,188.693833928,t,929.81122667
2,DodgerBlue,190.77905872,99,99.0
13,T,191.662132797,t,545.838485705
2,DodgerBlue,193.747016702,99,99.0
11,L,194.529552704,l,496.187069744
1,Orange,196.614799167,99,99.0
11,L,197.113812435,l,679.738351086
2,DodgerBlue,199.199068802,99,99.0
11,L,199.998388185,l,562.835105637
1,Orange,202.083489329,99,99.0
11,L,202.665977653,l,646.303620713
