code_event,myEvent,onsets,response,rt
1,-6,0.00338365556672,99,99.0
12,L,0.607412397629,L,559.719083249
1,-6,2.65209262702,99,99.0
10,T,3.25373217592,T,781.163846841
1,-6,5.30329064943,99,99.0
10,T,5.90351211757,T,515.641654492
2,6,7.95426436351,99,99.0
11,T,8.55511175829,T,548.401694279
1,-6,10.6052165049,99,99.0
12,L,11.2060962603,L,415.060636587
1,-6,13.2562561283,99,99.0
12,L,13.8570224049,L,448.50062055
2,6,15.9074137721,99,99.0
13,L,16.5136559098,L,559.624954476
2,6,18.5582915831,99,99.0
11,T,19.1590634265,T,548.551004496
1,-6,21.2093246321,99,99.0
12,L,21.8184907413,L,523.47474196
1,-6,23.8603136514,99,99.0
12,L,24.4622965815,L,463.986228337
2,6,26.5113391997,99,99.0
10,T,27.1123871737,T,614.980488317
1,-6,29.1623748593,99,99.0
12,L,29.7633791072,L,431.606396683
2,6,31.8135215768,99,99.0
11,T,32.4141823924,T,465.252917609
2,6,34.4644746745,99,99.0
11,T,35.0660163173,T,581.059596268
1,-6,37.1156489167,99,99.0
10,T,37.7158793743,T,565.555287874
1,-6,39.7666297796,99,99.0
10,T,40.3675032133,T,498.250775272
2,6,42.4174570616,99,99.0
13,L,43.0187495904,L,481.355703203
1,-6,45.0685349104,99,99.0
10,T,45.6714888806,T,563.024597941
2,6,47.7195879533,99,99.0
11,T,48.3204872697,T,498.33557161
1,-6,50.3705747291,99,99.0
10,T,50.9709692126,T,465.547935222
2,6,53.0216365929,99,99.0
11,T,53.622622065,T,481.571798096
1,-6,55.6726004515,99,99.0
12,L,56.2734924204,L,515.099125798
2,6,58.3235904602,99,99.0
11,T,58.9241411323,T,498.760609422
1,-6,60.9745868599,99,99.0
10,T,61.5755201309,T,498.412070447
2,6,63.6256841492,99,99.0
10,T,64.2262288182,T,582.09819987
2,6,66.2768741926,99,99.0
11,T,66.8781430012,T,464.490408427
1,-6,68.9278706465,99,99.0
10,T,69.5295459095,T,430.753521156
2,6,71.5790179144,99,99.0
13,L,72.1796901434,L,665.056222817
1,-6,74.2299301852,99,99.0
12,L,74.8309168814,L,431.409173878
1,-6,76.8811457625,99,99.0
11,T,77.4818841866,T,464.820932481
2,6,79.5319156795,99,99.0
11,T,80.1332453117,T,497.83075403
1,-6,82.1829456849,99,99.0
10,T,82.7838740717,T,531.543560326
2,6,84.833945844,99,99.0
12,L,85.4350448612,L,564.828601084
1,-6,87.4850166101,99,99.0
11,T,88.086281118,T,481.184284785
1,-6,90.1360047271,99,99.0
13,L,90.7372724711,L,531.292933389
2,6,92.7870377551,99,99.0
11,T,93.3876825167,T,531.841570395
1,-6,95.4380226091,99,99.0
10,T,96.0393502172,T,481.185605167
1,-6,98.0891015225,99,99.0
11,T,98.6899412964,T,731.707347324
2,6,100.739984179,99,99.0
11,T,101.340853627,T,615.107073914
2,6,103.391180739,99,99.0
12,L,103.992000892,L,448.2553259
2,6,106.042152553,99,99.0
13,L,106.642605692,L,648.744695703
2,6,108.693190552,99,99.0
11,T,109.294113622,T,564.942239318
2,6,111.344182976,99,99.0
13,L,111.94504081,L,565.04201307
1,-6,113.99524671,99,99.0
12,L,114.595740234,L,615.32060639
1,-6,116.646323561,99,99.0
12,L,117.247269761,L,498.121666373
2,6,119.297106581,99,99.0
13,L,119.89770199,L,698.827106971
2,6,121.94831993,99,99.0
11,T,122.549083148,T,565.052103251
1,-6,124.599123366,99,99.0
10,T,125.201490086,T,613.706806558
2,6,127.250201229,99,99.0
11,T,127.851146218,T,515.017192578
1,-6,129.901183611,99,99.0
10,T,130.502701931,T,497.780173901
2,6,132.552393363,99,99.0
11,T,133.153487833,T,698.132588295
1,-6,135.203255649,99,99.0
12,L,135.804850359,L,497.662442387
1,-6,137.854220906,99,99.0
10,T,138.456598405,T,513.621337246
1,-6,140.505439392,99,99.0
13,L,141.106744257,L,464.480017545
2,6,143.156290021,99,99.0
13,L,143.757282657,L,631.68399781
2,6,145.807296243,99,99.0
12,L,146.408833799,L,531.126781134
2,6,148.458392582,99,99.0
11,T,149.059922014,T,547.728847596
2,6,151.109387165,99,99.0
12,L,151.710980973,L,681.071953382
1,-6,153.760383132,99,99.0
10,T,154.361672996,T,464.653670439
1,-6,156.411392103,99,99.0
10,T,157.012499845,T,531.532561872
1,-6,159.062536655,99,99.0
12,L,159.663547089,L,531.512372545
2,6,161.713443738,99,99.0
13,L,162.314174878,T,598.598074517
1,-6,164.364459512,99,99.0
10,T,164.965694152,T,664.783578017
1,-6,167.015496883,99,99.0
10,T,167.616484875,T,548.314786516
2,6,169.666511165,99,99.0
11,T,170.267262888,T,665.267917677
2,6,172.317701383,99,99.0
11,T,172.918462526,T,598.399405135
2,6,174.968744751,99,99.0
12,L,175.568935924,L,482.240536483
1,-6,177.61983776,99,99.0
12,L,178.220696529,L,564.869397669
2,6,180.270818157,99,99.0
13,L,180.873249514,L,530.022635125
1,-6,182.921814698,99,99.0
10,T,183.522736808,T,514.856408583
2,6,185.572798571,99,99.0
13,L,186.214578646,L,640.759395785
1,-6,188.257234898,99,99.0
12,L,188.858207811,L,464.743525605
1,-6,190.908177118,99,99.0
12,L,191.50921948,L,498.109233333
2,6,193.559177593,99,99.0
11,T,194.160537724,T,447.772634332
1,-6,196.210191983,99,99.0
10,T,196.811148908,T,548.237559968
