code_event,myEvent,onsets,response,rt
1,Orange,0.00483894348145,99,99.0
13,T,0.606976032257,6,310.8689785
1,Orange,2.68813610077,99,99.0
13,T,3.42164993286,6,246.263027191
1,Orange,5.50532412529,99,99.0
13,T,6.22226691246,6,279.33216095
2,DodgerBlue,8.3056409359,99,99.0
12,T,9.02248692513,-6,246.121168137
2,DodgerBlue,11.1061909199,99,99.0
12,T,11.7230529785,-6,262.097120285
2,DodgerBlue,13.8062419891,99,99.0
12,T,14.5894739628,-6,263.029098511
1,Orange,16.6732800007,99,99.0
13,T,17.1901791096,6,279.397010803
1,Orange,19.2735381126,99,99.0
13,T,19.7566299438,6,329.706192017
1,Orange,21.8404791355,99,99.0
13,T,22.4737699032,6,246.590137482
2,DodgerBlue,24.5566399097,99,99.0
12,T,25.0408780575,-6,262.915849686
2,DodgerBlue,27.1244370937,99,99.0
12,T,27.9742770195,-6,279.810905457
2,DodgerBlue,30.0575380325,99,99.0
13,T,30.5899190903,6,364.410877228
2,DodgerBlue,32.6750190258,99,99.0
12,T,33.2583510876,-6,263.253927231
1,Orange,35.3422620296,99,99.0
13,T,35.8585801125,6,229.749917984
2,DodgerBlue,37.9422900677,99,99.0
12,T,38.5577430725,-6,330.312013626
2,DodgerBlue,40.6425559521,99,99.0
12,T,41.2749369144,-6,230.674028397
2,DodgerBlue,43.3595781326,99,99.0
12,T,44.2261049747,-6,129.668951035
1,Orange,46.309871912,99,99.0
13,T,46.9579019547,6,264.945030212
2,DodgerBlue,49.0435929298,99,99.0
13,T,49.1433730125,-6,1596.48489952
2,DodgerBlue,51.2274389267,99,99.0
12,T,51.7436499596,0,0.0
1,Orange,53.8274800777,99,99.0
13,T,54.6773331165,6,246.484994888
1,Orange,56.7610480785,99,99.0
13,T,56.8608410358,6,579.694986343
1,Orange,58.9447131157,99,99.0
13,T,59.6445720196,6,279.690027237
2,DodgerBlue,61.727273941,99,99.0
12,T,62.5790789127,-6,229.119062424
2,DodgerBlue,64.6618289948,99,99.0
12,T,65.3617911339,-6,229.633808136
1,Orange,67.4456150532,99,99.0
13,T,67.5454540253,6,412.503004074
2,DodgerBlue,69.6292409897,99,99.0
12,T,70.4793200493,-6,212.924003601
2,DodgerBlue,72.5627689362,99,99.0
12,T,73.1961119175,-6,262.653112411
2,DodgerBlue,75.2798070908,99,99.0
13,T,75.8132710457,6,562.766075134
1,Orange,77.8967700005,99,99.0
13,T,78.5447161198,6,248.164892197
2,DodgerBlue,80.6304740906,99,99.0
12,T,81.3803260326,-6,246.258974075
2,DodgerBlue,83.4645709991,99,99.0
12,T,84.0138800144,-6,246.261119843
2,DodgerBlue,86.0976970196,99,99.0
12,T,86.6311790943,-6,246.058940887
1,Orange,88.7147951126,99,99.0
13,T,89.1980519295,6,296.231985092
1,Orange,91.2815449238,99,99.0
13,T,92.0314800739,6,262.99405098
2,DodgerBlue,94.115375042,99,99.0
12,T,94.9152069092,-6,263.03601265
2,DodgerBlue,96.9988329411,99,99.0
13,T,97.0986769199,6,612.999200821
2,DodgerBlue,99.1828019619,99,99.0
12,T,100.066267967,0,0.0
2,DodgerBlue,102.149461031,99,99.0
12,T,102.949427128,-6,346.28200531
2,DodgerBlue,105.033045053,99,99.0
13,T,105.766947985,6,379.437923431
1,Orange,107.850400925,99,99.0
13,T,108.466599941,6,363.193035126
2,DodgerBlue,110.55034709,99,99.0
12,T,111.067335129,-6,512.768983841
2,DodgerBlue,113.150655985,99,99.0
12,T,113.934116125,-6,329.445838928
1,Orange,116.0342381,99,99.0
13,T,116.567734957,6,379.572153091
2,DodgerBlue,118.651510954,99,99.0
12,T,119.15111804,-6,379.864931107
1,Orange,121.234812975,99,99.0
12,T,122.084609032,-6,346.489906311
2,DodgerBlue,124.168627024,99,99.0
13,T,124.835469007,6,312.772989273
1,Orange,126.918889046,99,99.0
13,T,127.735347033,6,296.55790329
2,DodgerBlue,129.81923914,99,99.0
12,T,130.35247612,-6,296.337842941
1,Orange,132.436142921,99,99.0
12,T,133.019386053,-6,429.656028748
1,Orange,135.103131056,99,99.0
12,T,135.670066118,-6,312.633991241
2,DodgerBlue,137.753356934,99,99.0
12,T,138.403623104,-6,279.469013214
1,Orange,140.487208128,99,99.0
13,T,141.170224905,6,295.849084854
2,DodgerBlue,143.253994942,99,99.0
12,T,143.853876114,-6,296.343803406
2,DodgerBlue,145.937715054,99,99.0
12,T,146.537441969,-6,346.462011337
1,Orange,148.621280909,99,99.0
13,T,149.271302938,6,312.739133835
2,DodgerBlue,151.354856014,99,99.0
13,T,152.154953957,6,279.509067535
2,DodgerBlue,154.238796949,99,99.0
12,T,155.105165005,-6,279.542922974
1,Orange,157.189474106,99,99.0
13,T,157.288749933,6,446.202993393
1,Orange,159.372585058,99,99.0
13,T,160.256226063,6,279.224872589
2,DodgerBlue,162.339581013,99,99.0
12,T,163.172763109,-6,296.211004257
1,Orange,165.25650692,99,99.0
13,T,166.039794922,6,312.803983688
2,DodgerBlue,168.121530056,99,99.0
12,T,168.823416948,-6,296.447038651
1,Orange,170.907341957,99,99.0
13,T,171.690431118,6,279.718875885
2,DodgerBlue,173.774049997,99,99.0
12,T,174.373851061,-6,279.757022858
1,Orange,176.457627058,99,99.0
12,T,177.124531031,-6,396.194934845
2,DodgerBlue,179.2080791,99,99.0
12,T,180.058028936,-6,279.703140259
2,DodgerBlue,182.141703129,99,99.0
12,T,183.008712053,-6,295.866966248
2,DodgerBlue,185.092376947,99,99.0
13,T,185.775641918,6,295.95208168
1,Orange,187.858896971,99,99.0
13,T,188.357636929,6,314.06712532
2,DodgerBlue,190.44263792,99,99.0
12,T,190.959161043,-6,279.560089111
2,DodgerBlue,193.04282999,99,99.0
12,T,193.876106024,-6,446.360111237
