code_event,myEvent,onsets,response,rt
2,6,0.00286102294922,99,99.0
13,L,0.602828979492,0,0.0
1,-6,2.65188384056,99,99.0
13,L,3.24864196777,T,1069.26584244
1,-6,5.30172491074,99,99.0
10,T,5.89875888824,T,1302.89912224
1,-6,7.95229196548,99,99.0
10,T,8.54799795151,T,1337.40305901
2,6,10.5865240097,99,99.0
11,T,11.1828379631,T,719.683885574
1,-6,13.2199029922,99,99.0
10,T,13.8158738613,T,1301.04207993
1,-6,15.8531749249,99,99.0
10,T,16.4522738457,T,750.925064087
1,-6,18.4878549576,99,99.0
10,T,19.0842478275,T,969.274997711
2,6,21.1211919785,99,99.0
13,L,21.7188568115,L,734.963178635
1,-6,23.7560110092,99,99.0
10,T,24.3515160084,T,753.227949142
1,-6,26.3885300159,99,99.0
10,T,26.983591795,T,738.37518692
2,6,29.0392639637,99,99.0
11,T,29.6362569332,T,1035.34793854
1,-6,31.6899139881,99,99.0
11,T,32.2859048843,T,1403.00703049
2,6,34.3398509026,99,99.0
13,L,34.9346878529,L,720.858097076
1,-6,36.9729139805,99,99.0
10,T,37.6023030281,T,653.751850128
1,-6,39.6400818825,99,99.0
13,L,40.2338209152,L,955.689907074
1,-6,42.2735939026,99,99.0
10,T,42.870882988,T,885.879993439
2,6,44.9082829952,99,99.0
12,L,45.5044279099,T,1302.4559021
1,-6,47.5412328243,99,99.0
12,L,48.1385579109,L,1035.38298607
2,6,50.1746308804,99,99.0
13,L,50.7721209526,L,1319.25296783
2,6,52.8256528378,99,99.0
13,L,53.4214019775,L,653.131961823
1,-6,55.4758570194,99,99.0
13,L,56.0727388859,L,1151.79300308
2,6,58.126680851,99,99.0
11,T,58.721487999,0,0.0
1,-6,60.75999403,99,99.0
10,T,61.3564989567,0,0.0
1,-6,63.3940188885,99,99.0
10,T,63.9903888702,0,0.0
1,-6,66.0274438858,99,99.0
10,T,66.6252529621,0,0.0
2,6,68.6599190235,99,99.0
13,L,69.2577319145,0,0.0
1,-6,71.2993779182,99,99.0
12,L,71.8914530277,0,0.0
2,6,73.9443328381,99,99.0
11,T,74.5418360233,0,0.0
1,-6,76.5955729485,99,99.0
12,L,77.1922769547,0,0.0
2,6,79.2468039989,99,99.0
11,T,79.8422868252,0,0.0
2,6,81.8975288868,99,99.0
13,L,82.4915168285,0,0.0
1,-6,84.5297038555,99,99.0
11,T,85.1275219917,0,0.0
1,-6,87.1802098751,99,99.0
12,L,87.7765848637,0,0.0
1,-6,89.8138639927,99,99.0
10,T,90.4120938778,0,0.0
2,6,92.4478778839,99,99.0
11,T,93.0438508987,0,0.0
1,-6,95.0804378986,99,99.0
10,T,95.6772668362,0,0.0
1,-6,97.7148058414,99,99.0
10,T,98.3131029606,0,0.0
2,6,100.365270853,99,99.0
13,L,100.961821795,0,0.0
1,-6,103.032045841,99,99.0
13,L,103.628484011,0,0.0
2,6,105.681710958,99,99.0
12,L,106.275520802,0,0.0
1,-6,108.315903902,99,99.0
12,L,108.91296196,0,0.0
1,-6,110.966281891,99,99.0
11,T,111.560248852,0,0.0
1,-6,113.617138863,99,99.0
11,T,114.21329689,0,0.0
2,6,116.251714945,99,99.0
12,L,116.847980976,0,0.0
1,-6,118.883219004,99,99.0
10,T,119.480842829,0,0.0
1,-6,121.517575979,99,99.0
12,L,122.115621805,0,0.0
1,-6,124.151547909,99,99.0
10,T,124.748292923,0,0.0
1,-6,126.785326958,99,99.0
12,L,127.382277012,0,0.0
1,-6,129.435706854,99,99.0
12,L,130.03125596,0,0.0
2,6,132.086049795,99,99.0
13,L,132.682295799,0,0.0
1,-6,134.737564802,99,99.0
12,L,135.332800865,0,0.0
2,6,137.369907856,99,99.0
13,L,137.966535807,0,0.0
1,-6,140.003369808,99,99.0
10,T,140.601310968,0,0.0
1,-6,142.636830807,99,99.0
12,L,143.232378006,0,0.0
2,6,145.271184921,99,99.0
13,L,145.867408991,0,0.0
1,-6,147.904503822,99,99.0
10,T,148.501340866,0,0.0
1,-6,150.538586855,99,99.0
12,L,151.134865999,0,0.0
1,-6,153.188378811,99,99.0
10,T,153.78586483,0,0.0
1,-6,155.839119911,99,99.0
11,T,156.435660839,0,0.0
1,-6,158.490028858,99,99.0
10,T,159.086105824,0,0.0
1,-6,161.123188019,99,99.0
12,L,161.721767902,0,0.0
2,6,163.773627996,99,99.0
11,T,164.370246887,0,0.0
1,-6,166.42414999,99,99.0
12,L,167.020449877,0,0.0
1,-6,169.057732821,99,99.0
10,T,169.654964924,0,0.0
2,6,171.688658953,99,99.0
13,L,172.287725925,0,0.0
1,-6,174.324899912,99,99.0
10,T,174.92690897,0,0.0
2,6,176.975096941,99,99.0
11,T,177.571755886,0,0.0
2,6,179.625622988,99,99.0
13,L,180.224217892,0,0.0
2,6,182.275085926,99,99.0
13,L,182.872406006,0,0.0
1,-6,184.925071001,99,99.0
10,T,185.525369883,0,0.0
1,-6,187.575984955,99,99.0
12,L,188.174498796,0,0.0
1,-6,190.20953083,99,99.0
13,L,190.805218935,0,0.0
2,6,192.843623877,99,99.0
13,L,193.438755989,0,0.0
2,6,195.476300955,99,99.0
11,T,196.074224949,0,0.0
